id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_b01_mean,eta_b11_mean,eta_b21_mean,eta_a1_mean,eta_b02_mean,eta_b12_mean,eta_b03_mean,eta_b13_mean,eta_b04_mean,eta_b14_mean,eta_p1_mean,eta_g1_mean,eta_p2_mean,eta_g2_mean,eta_alpha11_mean,eta_alpha12_mean,eta_alpha13_mean,eta_alpha14_mean,eta_alpha21_mean,eta_alpha22_mean,eta_alpha23_mean,eta_alpha24_mean,eta_b01_mode,eta_b11_mode,eta_b21_mode,eta_a1_mode,eta_b02_mode,eta_b12_mode,eta_b03_mode,eta_b13_mode,eta_b04_mode,eta_b14_mode,eta_p1_mode,eta_g1_mode,eta_p2_mode,eta_g2_mode,eta_alpha11_mode,eta_alpha12_mode,eta_alpha13_mode,eta_alpha14_mode,eta_alpha21_mode,eta_alpha22_mode,eta_alpha23_mode,eta_alpha24_mode,eta_b01_sd,eta_b11_sd,eta_b21_sd,eta_a1_sd,eta_b02_sd,eta_b12_sd,eta_b03_sd,eta_b13_sd,eta_b04_sd,eta_b14_sd,eta_p1_sd,eta_g1_sd,eta_p2_sd,eta_g2_sd,eta_alpha11_sd,eta_alpha12_sd,eta_alpha13_sd,eta_alpha14_sd,eta_alpha21_sd,eta_alpha22_sd,eta_alpha23_sd,eta_alpha24_sd
11,2.10055,-0.0190884,-0.00254545,-0.293764,-0.0230464,-0.00320281,1.36088,0.340437,1.92429,0.0776683,0,0,0,0,0,0,0,0,0,0,0,0,1.99818,-0.00666426,0.000613496,-0.331711,-0.0234353,-0.0031693,1.37895,0.336522,1.89172,0.0810392,0,0,0,0,0,0,0,0,0,0,0,0,1.7535,-0.00101143,-0.00361137,0.00928728,-0.0254577,-0.00286156,1.3982,0.332014,1.9162,0.0807587,0,0,0,0,0,0,0,0,0,0,0,0,0.866303,0.08938,0.0700211,0.894885,0.0213448,0.00330617,0.435761,0.0687353,0.465611,0.0721175,0,0,0,0,0,0,0,0,0,0,0,0
12,-1.10857,0.00266554,-0.00310917,-0.0321977,-0.0032,-0.000770519,-0.41883,-0.0210026,-1.23958,-0.00428843,0,0,0,0,0,0,0,0,0,0,0,0,-0.944131,-0.000873257,-0.0062759,0.0316301,-0.0036435,-0.00118235,-0.416005,-0.00877593,-1.28019,0.000141045,0,0,0,0,0,0,0,0,0,0,0,0,-1.5719,-0.0004434,0.000226421,-0.00125703,-0.00436979,-0.00119343,-0.456784,-0.0122261,-1.28638,0.000319022,0,0,0,0,0,0,0,0,0,0,0,0,1.17715,0.0966233,0.0805095,0.93307,0.0259254,0.00535478,0.516312,0.157093,0.671646,0.0953226,0,0,0,0,0,0,0,0,0,0,0,0
13,1.80382,0.164739,-0.0229666,0.834886,-0.0357697,0.00288226,-1.08029,0.0145812,0.571473,0.0716448,0,0,0,0,0,0,0,0,0,0,0,0,1.87982,0.153735,-0.00918892,0.999809,-0.0409089,0.00334696,-1.09455,0.0150384,0.618347,0.0709401,0,0,0,0,0,0,0,0,0,0,0,0,1.30509,0.155343,-0.00620692,0.977754,-0.0409236,0.00324622,-1.08201,0.0134037,0.623506,0.0693893,0,0,0,0,0,0,0,0,0,0,0,0,1.19749,0.015422,0.0584665,0.372408,0.0169974,0.000982237,0.277889,0.0161492,0.324235,0.0189275,0,0,0,0,0,0,0,0,0,0,0,0
14,-0.803231,0.158821,-0.00827185,0.700032,-9.85159e-05,-0.000974541,-0.219881,0.329406,1.15751,-0.151451,0,0,0,0,0,0,0,0,0,0,0,0,-0.67438,0.150364,-0.0143189,0.705139,0.00238147,-0.00125107,-0.273596,0.336008,1.13425,-0.15151,0,0,0,0,0,0,0,0,0,0,0,0,-1.6653,0.139848,-0.0103512,0.906275,-0.000608564,-0.000953209,-0.265389,0.336231,1.16169,-0.150888,0,0,0,0,0,0,0,0,0,0,0,0,1.36428,0.045767,0.0709499,0.558722,0.0218143,0.00290061,0.398718,0.0610362,0.454784,0.0548014,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.0866916,0.0228951,-0.01627,0.137278,-0.0126117,-0.000455362,0.766237,0.0717896,2.09612,0.0104101,0,0,0,0,0,0,0,0,0,0,0,0,-0.0950875,0.0191488,-0.0116862,0.104617,-0.0152514,-0.000962216,0.688506,0.0974009,2.19026,0.00473229,0,0,0,0,0,0,0,0,0,0,0,0,-0.567151,0.00609175,-0.00347925,0.0237394,-0.0141046,-0.000485312,0.748646,0.0701938,2.18117,-0.00167355,0,0,0,0,0,0,0,0,0,0,0,0,1.23236,0.103007,0.0834136,0.950655,0.0302312,0.00600252,0.528796,0.150432,0.635071,0.0964569,0,0,0,0,0,0,0,0,0,0,0,0
16,1.82771,-0.001477,-0.00794516,-0.0248016,-0.00664959,0.000249352,-0.388631,-0.0115862,-0.203897,0.00258911,0,0,0,0,0,0,0,0,0,0,0,0,1.80802,-0.00963463,-0.0021888,0.0292994,-0.0101463,0.000580536,-0.35785,-0.0173195,-0.150738,0.00583574,0,0,0,0,0,0,0,0,0,0,0,0,1.45023,-0.000736367,0.000380132,-0.00207388,-0.00980573,0.000109352,-0.357976,-0.00611299,-0.163115,3.56258e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.10488,0.0963894,0.0848246,0.967876,0.0312008,0.005609,0.538785,0.148957,0.614459,0.0832544,0,0,0,0,0,0,0,0,0,0,0,0
17,1.29096,-0.0207245,-0.0140637,-0.394121,-0.0288247,0.00638019,0.331435,0.0439416,0.539465,0.0765445,0,0,0,0,0,0,0,0,0,0,0,0,1.5061,-0.0636004,-0.00885757,-0.219329,-0.0237391,0.00612178,0.329077,0.0426068,0.317978,0.0900526,0,0,0,0,0,0,0,0,0,0,0,0,1.32862,-0.0232062,0.0133657,0.00320723,-0.0266997,0.00625536,0.2252,0.0497072,0.412803,0.0849633,0,0,0,0,0,0,0,0,0,0,0,0,0.667496,0.109979,0.0575513,0.924288,0.0166169,0.0010175,0.262619,0.0156022,0.364565,0.0194206,0,0,0,0,0,0,0,0,0,0,0,0
18,-1.42349,-0.0395936,0.0227765,-0.107813,-0.0224937,-0.0012477,-0.766862,-0.00463786,-1.19061,-0.0621958,0,0,0,0,0,0,0,0,0,0,0,0,-1.23019,-0.0467592,0.030778,0.044749,-0.0228595,-0.000812349,-0.760022,0.00417964,-1.22784,-0.0595638,0,0,0,0,0,0,0,0,0,0,0,0,-1.61584,-0.0776622,0.0575768,0.776654,-0.0201443,-0.000962716,-0.726229,-0.0033063,-1.21227,-0.0592729,0,0,0,0,0,0,0,0,0,0,0,0,0.866248,0.0870782,0.0732834,0.979123,0.0255866,0.00582186,0.460964,0.147242,0.487599,0.0872536,0,0,0,0,0,0,0,0,0,0,0,0
19,2.95235,0.00138093,-0.00897381,-0.190643,-0.0466241,-0.00567959,1.31981,0.131458,-0.667696,-0.0021025,0,0,0,0,0,0,0,0,0,0,0,0,2.93048,0.0260219,0.00362183,-0.148495,-0.0468473,-0.00491321,1.40124,0.143099,-0.607079,-0.0238074,0,0,0,0,0,0,0,0,0,0,0,0,2.70757,0.00792555,-0.00379813,0.0297515,-0.046588,-0.00514086,1.34555,0.132211,-0.603499,-0.015757,0,0,0,0,0,0,0,0,0,0,0,0,0.926649,0.100989,0.0772846,0.919216,0.0235767,0.0057088,0.427638,0.148468,0.481114,0.0928659,0,0,0,0,0,0,0,0,0,0,0,0
20,-1.87393,-0.000687762,-0.00504515,-0.025043,-0.0244119,-7.06023e-05,0.261306,-0.00897502,-0.404285,0.00891059,0,0,0,0,0,0,0,0,0,0,0,0,-2.09442,-0.00628266,0.00232434,-0.0762497,-0.0238863,3.9596e-05,0.216933,-0.0166653,-0.392686,-0.00888062,0,0,0,0,0,0,0,0,0,0,0,0,-2.95551,-0.000737188,0.000378531,-0.00207082,-0.0234021,-0.000642912,0.26182,-0.0138623,-0.415641,0.000305539,0,0,0,0,0,0,0,0,0,0,0,0,1.17535,0.105499,0.0780728,1.00323,0.0269514,0.00550775,0.559616,0.152494,0.595437,0.0937394,0,0,0,0,0,0,0,0,0,0,0,0
21,-0.425073,0.0318664,-0.0391006,0.0430752,0.00571366,-0.000761065,-0.393292,-0.034876,-2.00091,-0.0666659,0,0,0,0,0,0,0,0,0,0,0,0,-0.212855,0.0279245,-0.0256413,-0.101151,0.0115929,-0.000959403,-0.404268,-0.0365783,-1.97547,-0.0648692,0,0,0,0,0,0,0,0,0,0,0,0,-1.10086,0.0527482,-0.0153339,0.604638,0.00765929,-0.000804114,-0.381321,-0.036879,-1.96237,-0.0661734,0,0,0,0,0,0,0,0,0,0,0,0,0.885477,0.066999,0.064928,0.80494,0.0188332,0.00104576,0.235237,0.0138491,0.346414,0.0200784,0,0,0,0,0,0,0,0,0,0,0,0
22,3.54939,0.101484,-0.0298954,0.504097,-0.045416,-0.00504184,1.07529,-0.150015,-0.854186,-0.0454522,0,0,0,0,0,0,0,0,0,0,0,0,3.375,0.115475,-0.0350185,0.339765,-0.0489798,-0.00470945,0.993168,-0.143372,-0.783618,-0.0466433,0,0,0,0,0,0,0,0,0,0,0,0,2.76806,0.115442,-0.0144619,0.585895,-0.0455367,-0.00494671,1.04079,-0.146491,-0.800065,-0.0468057,0,0,0,0,0,0,0,0,0,0,0,0,1.18664,0.0283277,0.061507,0.484952,0.0172153,0.00103035,0.301164,0.0177928,0.356379,0.0200374,0,0,0,0,0,0,0,0,0,0,0,0
23,0.220806,-0.0180019,0.00546089,-0.230586,-0.0117444,-0.00112016,-0.950724,0.0143612,2.27257,-0.023672,0,0,0,0,0,0,0,0,0,0,0,0,0.198973,-0.0105415,0.00048833,-0.194264,-0.0116493,-0.000689871,-0.956758,0.00521063,2.24364,-0.00750896,0,0,0,0,0,0,0,0,0,0,0,0,-0.130764,-0.0173888,0.0103701,-0.0112459,-0.0116808,-0.00102958,-0.946004,0.0207497,2.25956,-0.013046,0,0,0,0,0,0,0,0,0,0,0,0,0.947765,0.094482,0.0748815,0.886074,0.0228668,0.0058035,0.445122,0.141442,0.462451,0.0858096,0,0,0,0,0,0,0,0,0,0,0,0
24,1.20768,0.102277,-0.0282175,0.348385,-0.0145184,-0.0141407,-0.996367,0.0143751,-0.150679,-0.0540816,0,0,0,0,0,0,0,0,0,0,0,0,0.706539,0.104128,-0.0285176,0.517484,-0.0189629,-0.0139317,-1.03982,0.0197145,-0.236486,-0.0458583,0,0,0,0,0,0,0,0,0,0,0,0,0.166835,0.0977419,-0.0126556,0.779073,-0.0185787,-0.0139078,-0.974763,0.0125783,-0.204898,-0.0461295,0,0,0,0,0,0,0,0,0,0,0,0,1.07209,0.0462035,0.0652998,0.593171,0.0203696,0.00183446,0.335634,0.0273937,0.403521,0.0365419,0,0,0,0,0,0,0,0,0,0,0,0
25,1.32266,-0.0303104,0.010383,-0.234878,-0.016241,-0.00080118,0.445761,-0.0408367,1.05895,-0.0235716,0,0,0,0,0,0,0,0,0,0,0,0,1.28319,-0.0421062,0.00285726,-0.226806,-0.0156298,-0.00111886,0.423505,-0.0386518,0.987037,-0.0171942,0,0,0,0,0,0,0,0,0,0,0,0,1.21959,-0.0283171,0.0336819,0.100106,-0.0169036,-0.000813442,0.449449,-0.0412887,1.00197,-0.0169109,0,0,0,0,0,0,0,0,0,0,0,0,0.708655,0.0732493,0.0877356,0.769682,0.0192448,0.00198662,0.403224,0.0443991,0.434949,0.0441572,0,0,0,0,0,0,0,0,0,0,0,0
26,0.854464,-0.00143859,-0.00837705,-0.275554,0.060591,0.00378078,-0.39047,0.177603,-3.29789,-0.0120829,0,0,0,0,0,0,0,0,0,0,0,0,0.857677,0.00354862,-0.00626815,-0.268421,0.0601012,0.00437152,-0.448821,0.187724,-3.29648,-0.00795383,0,0,0,0,0,0,0,0,0,0,0,0,0.594956,0.0107251,-0.00628493,0.0500901,0.0598165,0.00422745,-0.411065,0.182165,-3.28557,-0.0109847,0,0,0,0,0,0,0,0,0,0,0,0,0.871502,0.0924833,0.0722569,0.847961,0.0218018,0.0035823,0.424524,0.082968,0.45846,0.0628313,0,0,0,0,0,0,0,0,0,0,0,0
27,2.84272,0.0459283,-0.061767,1.07455,0.0336273,9.41496e-05,-0.192238,-0.0302236,-3.65192,-0.0652012,0,0,0,0,0,0,0,0,0,0,0,0,2.17861,0.0401682,-0.0848089,1.32794,0.0338717,3.17281e-05,-0.230113,-0.0244978,-3.6243,-0.0646135,0,0,0,0,0,0,0,0,0,0,0,0,1.4835,0.043173,-0.0711753,1.50111,0.0331664,0.000109071,-0.229797,-0.0263715,-3.64698,-0.0639146,0,0,0,0,0,0,0,0,0,0,0,0,1.36481,0.0377978,0.0713844,0.675902,0.0227302,0.00216607,0.391209,0.0364746,0.439531,0.0399565,0,0,0,0,0,0,0,0,0,0,0,0
28,-1.52701,-0.00563337,-0.00782251,-0.340893,-0.0143935,0.000548991,1.15712,-0.012545,2.37134,0.022639,0,0,0,0,0,0,0,0,0,0,0,0,-1.45305,-0.00381736,-0.00405304,-0.114288,-0.0160416,0.000939275,1.18433,0.00849219,2.30251,0.0291405,0,0,0,0,0,0,0,0,0,0,0,0,-1.9514,0.00546208,-0.00313534,0.0208933,-0.0153183,0.000826394,1.16088,0.00884243,2.32908,0.0312153,0,0,0,0,0,0,0,0,0,0,0,0,0.845861,0.0920584,0.0701904,0.869196,0.023663,0.00480581,0.447356,0.137218,0.497939,0.0870083,0,0,0,0,0,0,0,0,0,0,0,0
29,-0.504561,-0.0674234,0.0508991,0.0906867,-0.0300041,0.00109273,0.709696,0.0897938,-0.741966,-0.011481,0,0,0,0,0,0,0,0,0,0,0,0,-0.632912,-0.0565202,0.0384946,0.157167,-0.0290011,0.00122723,0.700405,0.0745772,-0.709213,-0.00591316,0,0,0,0,0,0,0,0,0,0,0,0,-0.363561,-0.0616963,0.0809496,0.913607,-0.0283187,0.000840044,0.697891,0.0927592,-0.720474,-0.0024744,0,0,0,0,0,0,0,0,0,0,0,0,0.747842,0.078362,0.069523,0.869975,0.0242159,0.00513778,0.401913,0.121615,0.466496,0.0806465,0,0,0,0,0,0,0,0,0,0,0,0
30,0.134444,-0.0335484,-0.00288218,-0.485338,-0.00321583,0.00280549,0.138069,0.0723393,1.11141,0.036657,0,0,0,0,0,0,0,0,0,0,0,0,-0.104424,-0.026618,0.00395708,-0.261927,-0.00557376,0.00286275,0.180052,0.0698563,1.222,0.027332,0,0,0,0,0,0,0,0,0,0,0,0,-0.207964,-0.0130008,0.00270042,-0.014417,-0.00520935,0.00290075,0.176791,0.0703644,1.13873,0.034981,0,0,0,0,0,0,0,0,0,0,0,0,0.619574,0.0672563,0.0733053,0.874914,0.0188255,0.0017755,0.346997,0.0294505,0.403752,0.0359495,0,0,0,0,0,0,0,0,0,0,0,0
31,2.28325,-0.0242808,-0.0386819,-0.209649,-0.0321278,0.0057009,0.196738,-0.0413196,3.09781,0.00549405,0,0,0,0,0,0,0,0,0,0,0,0,2.36586,-0.0123754,-0.0164846,-0.203142,-0.0293433,0.00548771,0.281671,-0.047719,3.02548,0.0119836,0,0,0,0,0,0,0,0,0,0,0,0,1.81898,0.0322437,-0.0157706,0.246055,-0.0300066,0.0055784,0.264395,-0.0463203,3.09073,0.0078618,0,0,0,0,0,0,0,0,0,0,0,0,0.683925,0.0658686,0.0668219,0.89786,0.0168407,0.00101499,0.273613,0.016397,0.348829,0.020856,0,0,0,0,0,0,0,0,0,0,0,0
32,0.433155,0.00625477,-0.0374615,0.0486316,0.0406761,0.00352517,-0.749902,0.0168281,0.041181,-0.010198,0,0,0,0,0,0,0,0,0,0,0,0,0.220608,0.0223133,-0.0373433,0.15347,0.0424365,0.00359359,-0.743932,0.018697,0.0806935,-0.0134129,0,0,0,0,0,0,0,0,0,0,0,0,-2.53436,0.0113989,-0.098675,1.44854,0.0431235,0.00351201,-0.782148,0.0232357,0.0730553,-0.0134253,0,0,0,0,0,0,0,0,0,0,0,0,1.50699,0.0716802,0.0857825,1.00889,0.0210512,0.00331573,0.40865,0.0690177,0.403244,0.0608371,0,0,0,0,0,0,0,0,0,0,0,0
33,0.468008,0.0817105,-0.0191473,0.325434,0.0160523,0.00327635,0.382642,-0.0460911,1.5089,0.0301004,0,0,0,0,0,0,0,0,0,0,0,0,0.509581,0.0976356,-0.00346538,0.202553,0.0146195,0.00356302,0.376417,-0.0434602,1.48954,0.0327451,0,0,0,0,0,0,0,0,0,0,0,0,-0.874619,0.0996925,-0.0158983,0.726779,0.0149983,0.00334077,0.327371,-0.0354734,1.51363,0.0340603,0,0,0,0,0,0,0,0,0,0,0,0,1.33447,0.0602561,0.0610901,0.708258,0.0207575,0.00293365,0.376304,0.0551309,0.460768,0.0575172,0,0,0,0,0,0,0,0,0,0,0,0
34,0.659659,-0.186662,0.101323,1.66074,0.0346485,0.00613168,0.484599,-0.120107,-0.55957,0.105572,0,0,0,0,0,0,0,0,0,0,0,0,0.2291,-0.169381,0.0967996,1.68597,0.0308961,0.00635461,0.583103,-0.13896,-0.677738,0.121337,0,0,0,0,0,0,0,0,0,0,0,0,0.500699,-0.145148,0.0825121,1.85383,0.0346983,0.00612127,0.501907,-0.124567,-0.58943,0.109093,0,0,0,0,0,0,0,0,0,0,0,0,0.847558,0.0457994,0.0222052,0.31025,0.0206477,0.00302889,0.411153,0.0639183,0.478693,0.0656648,0,0,0,0,0,0,0,0,0,0,0,0
35,-0.709375,0.0113177,-0.0809615,1.22076,0.00487704,0.00160378,0.28126,-0.123164,-0.828003,-0.00771723,0,0,0,0,0,0,0,0,0,0,0,0,-0.441387,0.0252029,-0.0821986,0.908435,0.0105617,0.0011643,0.257175,-0.11537,-0.94675,0.00484176,0,0,0,0,0,0,0,0,0,0,0,0,-2.40911,0.00641824,-0.098047,1.71016,0.00785879,0.00142764,0.27969,-0.118362,-0.910378,0.00345569,0,0,0,0,0,0,0,0,0,0,0,0,1.60885,0.0512741,0.0671017,0.922444,0.0211152,0.00207712,0.375595,0.0369271,0.382937,0.0423486,0,0,0,0,0,0,0,0,0,0,0,0
36,-0.0246767,-0.00311411,0.0123536,-0.0935245,-0.0150564,-0.000294049,-0.433396,-0.0360304,0.759407,-0.00529898,0,0,0,0,0,0,0,0,0,0,0,0,0.0586064,-0.0110043,-0.00786733,-0.12432,-0.0144038,-7.00776e-06,-0.411137,-0.0461823,0.75549,0.0102817,0,0,0,0,0,0,0,0,0,0,0,0,-0.434433,-0.00920089,0.00533244,-0.0165836,-0.0137961,-0.000408325,-0.415097,-0.0419625,0.766107,0.0004393,0,0,0,0,0,0,0,0,0,0,0,0,0.879099,0.0888069,0.0712268,0.918169,0.0248927,0.0058709,0.422726,0.144058,0.694386,0.100347,0,0,0,0,0,0,0,0,0,0,0,0
