id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha21_SAEM,eta_b01_mean,eta_b11_mean,eta_b21_mean,eta_a1_mean,eta_p1_mean,eta_g1_mean,eta_p2_mean,eta_g2_mean,eta_alpha11_mean,eta_alpha21_mean,eta_b01_mode,eta_b11_mode,eta_b21_mode,eta_a1_mode,eta_p1_mode,eta_g1_mode,eta_p2_mode,eta_g2_mode,eta_alpha11_mode,eta_alpha21_mode,eta_b01_sd,eta_b11_sd,eta_b21_sd,eta_a1_sd,eta_p1_sd,eta_g1_sd,eta_p2_sd,eta_g2_sd,eta_alpha11_sd,eta_alpha21_sd
11,2.06897,-0.0023658,-0.00739851,-0.385395,0,0,0,0,0,0,2.13966,-0.0233232,-0.0123744,-0.407685,0,0,0,0,0,0,1.83213,0.000910645,-0.00540263,0.0246565,0,0,0,0,0,0,0.830628,0.0811562,0.0738284,0.969405,0,0,0,0,0,0
12,-0.914848,-0.00501963,0.00749845,0.0535284,0,0,0,0,0,0,-1.0462,-0.013134,0.00333166,-0.045939,0,0,0,0,0,0,-1.61254,-0.00501756,0.00364025,-0.0197383,0,0,0,0,0,0,1.0493,0.0992853,0.0875792,1.06322,0,0,0,0,0,0
13,1.80147,0.1584,-0.0298928,0.918605,0,0,0,0,0,0,2.13269,0.157092,-0.0212618,0.948785,0,0,0,0,0,0,1.30866,0.149736,-0.00408084,1.11368,0,0,0,0,0,0,0.993572,0.0137174,0.0849659,0.378867,0,0,0,0,0,0
14,-0.759148,0.1454,-0.00308225,0.90418,0,0,0,0,0,0,-0.953258,0.15678,-0.0198205,0.779353,0,0,0,0,0,0,-1.65208,0.133204,-0.00964234,1.0536,0,0,0,0,0,0,1.2663,0.0432175,0.0760511,0.511294,0,0,0,0,0,0
15,0.0401099,0.0296257,-0.0246897,0.34659,0,0,0,0,0,0,0.110946,0.0372178,-0.00207227,0.181481,0,0,0,0,0,0,-0.433897,0.0145223,-0.00710973,0.0898087,0,0,0,0,0,0,1.22439,0.102058,0.0806309,1.26733,0,0,0,0,0,0
16,1.82059,-0.00579145,0.00227983,-0.0820323,0,0,0,0,0,0,1.68656,-0.00124281,0.0124575,-0.0828862,0,0,0,0,0,0,1.34986,-0.0016873,0.00113311,-0.00751056,0,0,0,0,0,0,1.04753,0.0943755,0.0900933,1.08443,0,0,0,0,0,0
17,1.39333,-0.0267443,-0.010039,-0.416857,0,0,0,0,0,0,1.32277,-0.0234135,-0.00849927,-0.331409,0,0,0,0,0,0,1.3103,-0.0121489,0.0162824,-0.0269802,0,0,0,0,0,0,0.59174,0.0849725,0.0668139,1.07933,0,0,0,0,0,0
18,-1.30153,-0.0447764,0.0371192,0.043612,0,0,0,0,0,0,-1.37178,-0.0389047,0.0508317,-0.130213,0,0,0,0,0,0,-1.52619,-0.0702824,0.0701073,0.98171,0,0,0,0,0,0,0.903275,0.0867007,0.0875209,1.07603,0,0,0,0,0,0
19,2.97249,0.0216655,-0.00481039,-0.0466668,0,0,0,0,0,0,3.04604,0.0161528,-0.00887454,-0.0539543,0,0,0,0,0,0,2.79522,0.0120462,-0.00577242,0.0698194,0,0,0,0,0,0,1.02613,0.0982542,0.0740204,0.951784,0,0,0,0,0,0
20,-2.16857,-0.0106967,-0.00137813,-0.110166,0,0,0,0,0,0,-2.28308,-0.00613328,0.00924655,-0.134678,0,0,0,0,0,0,-2.94787,-0.00472982,0.00344185,-0.0189117,0,0,0,0,0,0,0.986753,0.0895965,0.0821811,0.930322,0,0,0,0,0,0
21,-0.117676,0.0151352,-0.0390838,0.0610324,0,0,0,0,0,0,-0.369541,0.0249654,-0.0294735,0.248675,0,0,0,0,0,0,-1.06752,0.0473017,-0.0153002,0.734114,0,0,0,0,0,0,0.848465,0.0578638,0.0679682,0.895034,0,0,0,0,0,0
22,3.79193,0.0855751,-0.00451752,0.813645,0,0,0,0,0,0,3.85529,0.107049,-0.033306,0.294623,0,0,0,0,0,0,2.77381,0.109507,-0.0173412,0.734808,0,0,0,0,0,0,1.44193,0.0450512,0.0670558,0.77922,0,0,0,0,0,0
23,0.141706,-0.014339,0.00879006,-0.323382,0,0,0,0,0,0,0.207739,-0.0266541,0.00887238,-0.247492,0,0,0,0,0,0,-0.156093,-0.0191947,0.0148983,-0.0174183,0,0,0,0,0,0,0.856721,0.0949854,0.0877778,0.988536,0,0,0,0,0,0
24,1.64318,0.0755282,-0.0353395,0.39335,0,0,0,0,0,0,1.5013,0.0740367,-0.0337644,0.478484,0,0,0,0,0,0,0.174545,0.0898996,-0.0131505,0.945494,0,0,0,0,0,0,1.52949,0.067917,0.0729264,0.738887,0,0,0,0,0,0
25,1.30071,-0.0424123,0.00510218,-0.494561,0,0,0,0,0,0,1.47337,-0.0333512,0.0312741,-0.426111,0,0,0,0,0,0,1.22948,-0.0266615,0.0408617,0.125972,0,0,0,0,0,0,0.775403,0.0721378,0.0750932,0.996993,0,0,0,0,0,0
26,0.966309,0.00196624,-0.00515879,-0.380969,0,0,0,0,0,0,0.885128,0.000503601,-0.00723878,-0.413655,0,0,0,0,0,0,0.613219,0.00689803,-0.0069573,0.0563082,0,0,0,0,0,0,0.817387,0.0846838,0.0752449,0.855834,0,0,0,0,0,0
27,2.3516,0.0317078,-0.084795,1.39883,0,0,0,0,0,0,2.46406,0.0348046,-0.0758744,1.37258,0,0,0,0,0,0,1.36623,0.029552,-0.0775691,1.73014,0,0,0,0,0,0,1.54566,0.0494273,0.0777415,0.855063,0,0,0,0,0,0
28,-1.49363,0.00281193,7.70211e-05,-0.262786,0,0,0,0,0,0,-1.41976,-0.00983365,-0.00287056,-0.217007,0,0,0,0,0,0,-1.92536,0.00144827,-0.00147579,0.00929863,0,0,0,0,0,0,0.938413,0.0845859,0.0795408,0.83639,0,0,0,0,0,0
29,-0.605086,-0.0586377,0.0469064,-0.0512127,0,0,0,0,0,0,-0.462962,-0.052856,0.0793318,0.155863,0,0,0,0,0,0,-0.249437,-0.05204,0.0938295,1.07896,0,0,0,0,0,0,0.835595,0.0773978,0.082937,1.04347,0,0,0,0,0,0
30,0.147066,-0.0315737,0.00647384,-0.449921,0,0,0,0,0,0,0.147676,-0.0334704,-0.000124502,-0.489432,0,0,0,0,0,0,-0.201373,-0.0132648,0.00213817,-0.0237745,0,0,0,0,0,0,0.597548,0.0715779,0.0784225,0.990036,0,0,0,0,0,0
31,2.30148,-0.00476612,-0.0224322,-0.348372,0,0,0,0,0,0,2.14031,0.00387982,-0.0323876,-0.155845,0,0,0,0,0,0,1.84428,0.0291231,-0.0184975,0.334239,0,0,0,0,0,0,0.661975,0.0734421,0.0740765,0.955996,0,0,0,0,0,0
32,0.46262,-0.000433189,-0.0331622,0.23445,0,0,0,0,0,0,0.369735,0.0112549,-0.0547425,-0.0454652,0,0,0,0,0,0,-2.64275,-0.00530037,-0.110523,1.65318,0,0,0,0,0,0,1.34893,0.0784416,0.0854361,1.24242,0,0,0,0,0,0
33,0.40664,0.0740537,-0.0420211,0.448514,0,0,0,0,0,0,0.472706,0.0641506,-0.0236581,0.54542,0,0,0,0,0,0,-0.84785,0.0857964,-0.0203317,0.911398,0,0,0,0,0,0,1.39559,0.0683395,0.0679944,0.90007,0,0,0,0,0,0
34,-2.06673,-0.0958618,0.126627,1.19675,0,0,0,0,0,0,-2.08622,-0.0842975,0.115086,1.39844,0,0,0,0,0,0,0.506296,-0.137786,0.0797916,2.04646,0,0,0,0,0,0,3.30529,0.0771917,0.0590384,1.42657,0,0,0,0,0,0
35,-0.781833,0.00147782,-0.0865975,1.34209,0,0,0,0,0,0,-0.914045,-0.00647297,-0.0927136,1.43485,0,0,0,0,0,0,-2.43869,-0.00550857,-0.102975,1.90061,0,0,0,0,0,0,1.64028,0.04373,0.0596625,1.00947,0,0,0,0,0,0
36,-0.0734342,-0.021008,0.00493563,-0.036401,0,0,0,0,0,0,-0.100773,-0.00428237,0.0101227,-0.223425,0,0,0,0,0,0,-0.454955,-0.0113091,0.00843863,-0.0298446,0,0,0,0,0,0,0.747909,0.0913347,0.0870085,0.89552,0,0,0,0,0,0
37,1.55931,0.042677,-0.014387,-0.0344193,0,0,0,0,0,0,1.58267,0.0470958,-0.035747,-0.139892,0,0,0,0,0,0,0.51661,0.0933298,0.013145,0.330042,0,0,0,0,0,0,0.987956,0.0717596,0.0695843,0.815655,0,0,0,0,0,0
38,1.63434,-0.0563252,0.0405573,-0.068975,0,0,0,0,0,0,1.80603,-0.0706313,0.0559472,0.133099,0,0,0,0,0,0,2.83622,-0.0431289,0.0877969,1.19545,0,0,0,0,0,0,0.833453,0.0757374,0.0581844,0.905962,0,0,0,0,0,0
39,2.61419,0.0415751,-0.0288166,0.19972,0,0,0,0,0,0,2.62691,0.0290624,-0.0299456,0.136613,0,0,0,0,0,0,2.16173,0.0560544,-0.0237172,0.630019,0,0,0,0,0,0,1.10293,0.0884502,0.0788877,0.984432,0,0,0,0,0,0
40,-0.669637,-0.0313301,0.0197303,0.189632,0,0,0,0,0,0,-0.844322,-0.0472584,0.0246576,0.447474,0,0,0,0,0,0,-1.22329,-0.0996608,0.0642528,1.48271,0,0,0,0,0,0,0.95823,0.111822,0.0800354,1.11423,0,0,0,0,0,0
41,2.04719,0.00584029,-0.00293829,-0.192195,0,0,0,0,0,0,2.0378,0.0186525,-0.00505902,-0.29084,0,0,0,0,0,0,1.8004,0.00737124,-0.00160115,0.0281023,0,0,0,0,0,0,0.899069,0.0951912,0.0897923,0.973983,0,0,0,0,0,0
42,1.96682,-0.0284719,-0.0158593,-0.323159,0,0,0,0,0,0,1.99002,-0.0239225,0.00256124,-0.479355,0,0,0,0,0,0,1.7488,-0.0163258,-0.00184068,-0.0212594,0,0,0,0,0,0,0.50503,0.0664463,0.0906006,0.990532,0,0,0,0,0,0
43,0.00712528,-0.0440948,0.053058,-0.164269,0,0,0,0,0,0,0.00142189,-0.0545045,0.0419123,0.0532936,0,0,0,0,0,0,0.0404555,-0.0425209,0.0796744,0.694582,0,0,0,0,0,0,0.791959,0.081045,0.0825065,0.980696,0,0,0,0,0,0
44,-1.33879,0.0231053,-0.0321044,0.0374363,0,0,0,0,0,0,-1.2136,0.00549107,-0.0470327,-0.0402483,0,0,0,0,0,0,-2.78154,0.058867,-0.0263656,0.748334,0,0,0,0,0,0,1.09695,0.0912463,0.0730853,0.922402,0,0,0,0,0,0
45,1.27572,0.00291893,-0.0186077,-0.45244,0,0,0,0,0,0,1.11771,0.00692177,-0.016832,-0.244879,0,0,0,0,0,0,0.695757,0.0309074,-0.0109516,0.220276,0,0,0,0,0,0,0.772251,0.0795995,0.075669,0.966925,0,0,0,0,0,0
46,-1.76188,0.0165545,-0.0155289,-0.321519,0,0,0,0,0,0,-1.73436,0.0109655,-0.014525,-0.457669,0,0,0,0,0,0,-2.33401,0.0421095,-0.00276252,0.223866,0,0,0,0,0,0,0.625525,0.0918463,0.0770187,0.88808,0,0,0,0,0,0
47,1.7824,0.0869097,-0.0431465,1.08089,0,0,0,0,0,0,1.70225,0.0845381,-0.0401496,1.05894,0,0,0,0,0,0,0.602941,0.112976,-0.0344501,1.57658,0,0,0,0,0,0,1.36901,0.0875107,0.0732963,1.10771,0,0,0,0,0,0
48,-1.30842,-0.00639694,0.0122516,0.161222,0,0,0,0,0,0,-1.54382,0.00915135,0.00261756,0.0502033,0,0,0,0,0,0,-2.11648,-0.00375244,0.00274056,-0.0157834,0,0,0,0,0,0,1.07791,0.0905348,0.0893856,1.08533,0,0,0,0,0,0
49,-3.14596,0.0860549,0.0468629,1.29333,0,0,0,0,0,0,-3.77358,0.091145,0.0401127,1.20204,0,0,0,0,0,0,-2.55825,0.124183,0.02634,0.365953,0,0,0,0,0,0,1.94293,0.0514386,0.0512743,0.708963,0,0,0,0,0,0
50,1.94436,0.0327236,-0.0177571,0.119085,0,0,0,0,0,0,1.75078,0.034666,-0.0265772,0.267668,0,0,0,0,0,0,1.51502,0.0476173,-0.0224363,0.504259,0,0,0,0,0,0,1.07746,0.0933498,0.0766392,0.963125,0,0,0,0,0,0
51,-2.08577,-0.00744763,-0.13464,1.47484,0,0,0,0,0,0,-2.05364,-0.0155719,-0.132533,1.58352,0,0,0,0,0,0,-2.3512,-0.0070853,-0.0996003,1.67269,0,0,0,0,0,0,0.405253,0.0277858,0.0473138,0.369751,0,0,0,0,0,0
52,0.135706,-0.0495835,0.0407496,0.0493028,0,0,0,0,0,0,0.148244,-0.0559993,0.050059,0.387603,0,0,0,0,0,0,0.0680005,-0.0780746,0.0826266,1.35434,0,0,0,0,0,0,0.844168,0.0842748,0.0846462,1.09096,0,0,0,0,0,0
53,-3.65053,-0.0936314,0.138,0.54376,0,0,0,0,0,0,-3.49798,-0.105107,0.0755367,0.943362,0,0,0,0,0,0,-3.70886,-0.0573767,0.0848656,1.03551,0,0,0,0,0,0,0.521906,0.0494153,0.036715,0.357034,0,0,0,0,0,0
54,-0.747677,-0.0193945,0.0121146,-0.225359,0,0,0,0,0,0,-0.746842,-0.0262132,0.0152884,-0.372665,0,0,0,0,0,0,-1.23081,-0.0272721,0.0219538,0.0270246,0,0,0,0,0,0,0.880594,0.088235,0.0880229,0.909009,0,0,0,0,0,0
55,0.993061,0.0169676,-0.0062031,-0.185206,0,0,0,0,0,0,1.02527,0.00256909,-0.00638168,-0.184961,0,0,0,0,0,0,0.627116,0.0100971,-0.00467906,0.0545154,0,0,0,0,0,0,0.994104,0.0997643,0.0831874,0.993864,0,0,0,0,0,0
56,-2.21677,-0.0273237,0.000731919,-0.643079,0,0,0,0,0,0,-2.16684,-0.0364923,-0.000308079,-0.631042,0,0,0,0,0,0,-2.34667,-0.0170047,0.0122937,-0.0248265,0,0,0,0,0,0,0.519001,0.0878997,0.0879206,0.957569,0,0,0,0,0,0
57,-2.72387,-0.0287375,-0.0150284,-0.579551,0,0,0,0,0,0,-2.76249,-0.0263986,-0.00220671,-0.457706,0,0,0,0,0,0,-3.16932,0.0145239,0.0039651,0.0165185,0,0,0,0,0,0,0.476531,0.0816556,0.0670057,0.890611,0,0,0,0,0,0
58,3.68485,-0.021559,-0.0352031,-0.200339,0,0,0,0,0,0,3.68145,-0.0161644,-0.0188031,-0.215879,0,0,0,0,0,0,3.47324,0.00135129,-0.0127492,0.0678863,0,0,0,0,0,0,0.745411,0.0797341,0.084683,0.949063,0,0,0,0,0,0
59,-0.00548568,-0.0506181,0.0124735,-0.283952,0,0,0,0,0,0,-0.0463688,-0.0355612,0.0182684,-0.674135,0,0,0,0,0,0,-0.0875019,-0.0346856,0.0403886,0.176752,0,0,0,0,0,0,0.56747,0.0864837,0.0903135,1.09748,0,0,0,0,0,0
60,-0.632082,0.0248786,-0.0167048,-0.156293,0,0,0,0,0,0,-0.687367,0.0344611,-0.0258272,-0.19351,0,0,0,0,0,0,-1.45967,0.0593096,-0.00855672,0.430416,0,0,0,0,0,0,0.868281,0.0818067,0.0830515,0.938501,0,0,0,0,0,0
61,2.43722,0.0398602,-0.0406327,0.597114,0,0,0,0,0,0,2.67936,0.0268286,-0.0524893,0.548775,0,0,0,0,0,0,1.59138,0.0471716,-0.0462361,1.05993,0,0,0,0,0,0,1.20311,0.0582443,0.071972,0.931463,0,0,0,0,0,0
62,-1.05715,-0.0184209,0.00675418,0.0507166,0,0,0,0,0,0,-0.992375,0.00670217,0.00230676,-0.0519599,0,0,0,0,0,0,-1.82219,-0.00315152,0.00229569,-0.0136305,0,0,0,0,0,0,1.17335,0.10228,0.0853962,1.04417,0,0,0,0,0,0
63,-1.58329,-0.0570682,0.167997,2.22991,0,0,0,0,0,0,-1.94799,-0.0612243,0.178494,2.08682,0,0,0,0,0,0,-2.28707,-0.0216417,0.178625,2.08231,0,0,0,0,0,0,0.874714,0.0718944,0.0566613,0.494431,0,0,0,0,0,0
64,-0.674612,-0.0124444,-0.0148092,-0.366834,0,0,0,0,0,0,-0.726629,-0.02731,-0.0184457,-0.472696,0,0,0,0,0,0,-0.968931,0.0104771,0.000593644,0.0246496,0,0,0,0,0,0,0.944936,0.0695725,0.0689318,1.22091,0,0,0,0,0,0
65,-1.97117,-0.0279903,0.0134393,-0.201784,0,0,0,0,0,0,-2.02432,-0.0245604,0.0225886,-0.237242,0,0,0,0,0,0,-2.45146,-0.0314342,0.0257928,0.0635945,0,0,0,0,0,0,0.71031,0.0788354,0.0750731,0.973237,0,0,0,0,0,0
66,0.707959,-0.0149677,0.00784475,-0.0816744,0,0,0,0,0,0,0.643851,-0.00717575,0.0127016,0.0623183,0,0,0,0,0,0,0.290365,-0.00398393,0.00289321,-0.0165241,0,0,0,0,0,0,1.06875,0.0900395,0.0881857,1.10344,0,0,0,0,0,0
67,-0.15563,-0.0199447,-0.0126789,-0.287741,0,0,0,0,0,0,-0.136896,-0.0154663,-0.00951723,-0.478221,0,0,0,0,0,0,-0.192832,0.00682973,0.0114963,-0.0263675,0,0,0,0,0,0,0.558712,0.0862965,0.0764347,0.955101,0,0,0,0,0,0
68,-1.91521,-0.0520058,0.0438054,-0.449,0,0,0,0,0,0,-1.64089,-0.0420664,0.0585325,0.0727211,0,0,0,0,0,0,-1.6333,-0.00434345,0.0913138,0.350656,0,0,0,0,0,0,0.607355,0.0534327,0.0599486,0.791382,0,0,0,0,0,0
69,1.51945,-0.00719981,-0.014587,-0.128042,0,0,0,0,0,0,1.72585,-0.00824615,0.00255893,-0.0777613,0,0,0,0,0,0,1.20203,0.00615181,-0.00511989,0.0419106,0,0,0,0,0,0,1.05574,0.0903595,0.0852114,0.967777,0,0,0,0,0,0
70,0.960253,-0.0343538,-0.0135417,-0.439936,0,0,0,0,0,0,0.954188,-0.0378684,-0.0218757,-0.519153,0,0,0,0,0,0,0.827861,-0.0132231,0.00542888,-0.0284119,0,0,0,0,0,0,0.514366,0.072422,0.087274,1.05512,0,0,0,0,0,0
71,0.907944,0.00834045,-0.0204383,-0.0475632,0,0,0,0,0,0,0.807247,0.0221211,-0.0131775,-0.19431,0,0,0,0,0,0,0.490582,0.0181433,-0.0129483,0.157094,0,0,0,0,0,0,0.932682,0.0851865,0.0773813,0.969757,0,0,0,0,0,0
72,-2.87603,-0.0060682,0.00911514,-0.135446,0,0,0,0,0,0,-2.70289,-0.0174619,0.0015721,-0.0584859,0,0,0,0,0,0,-3.44738,-0.00183237,0.00131356,-0.00835805,0,0,0,0,0,0,0.913807,0.0995722,0.0872761,1.11806,0,0,0,0,0,0
73,1.42081,-0.00930381,-0.0189098,-0.431303,0,0,0,0,0,0,1.37352,-0.00621166,-0.0103429,-0.318034,0,0,0,0,0,0,1.01672,0.0236467,-0.00977891,0.171009,0,0,0,0,0,0,0.774806,0.0765113,0.0762694,0.969986,0,0,0,0,0,0
74,-3.50324,-0.000133174,0.00118553,-0.280366,0,0,0,0,0,0,-3.60717,0.00131975,0.00300041,0.124657,0,0,0,0,0,0,-4.16811,-0.00178605,0.00128534,-0.00817889,0,0,0,0,0,0,1.05554,0.0918425,0.0938676,1.07401,0,0,0,0,0,0
75,-0.275625,0.00334549,-0.0455527,0.261757,0,0,0,0,0,0,-0.125674,0.0012612,-0.0491133,-0.00293485,0,0,0,0,0,0,-0.793057,0.0199295,-0.0503624,0.774549,0,0,0,0,0,0,0.730907,0.0646661,0.0772266,0.930655,0,0,0,0,0,0
76,-1.01486,0.0795343,-0.0081683,-0.148254,0,0,0,0,0,0,-0.879431,0.0713836,-0.0004996,-0.167393,0,0,0,0,0,0,-2.08857,0.101915,0.0143798,0.360823,0,0,0,0,0,0,1.13402,0.0833597,0.0721566,0.815844,0,0,0,0,0,0
77,-0.441773,-0.0103652,-9.79732e-05,-0.0204238,0,0,0,0,0,0,-0.529912,-0.0205259,0.0083718,-0.217238,0,0,0,0,0,0,-1.12865,-0.00146051,0.00099595,-0.00661163,0,0,0,0,0,0,1.20348,0.0932652,0.0842114,1.04372,0,0,0,0,0,0
78,-0.167453,0.017221,-0.00566933,0.00192448,0,0,0,0,0,0,-0.209729,0.0227869,-0.0136754,0.0723029,0,0,0,0,0,0,-0.716693,0.0105073,-0.00467086,0.0560291,0,0,0,0,0,0,1.2648,0.102942,0.0924335,1.12368,0,0,0,0,0,0
79,-0.506133,0.0215651,-0.0222247,-0.0795332,0,0,0,0,0,0,-0.450742,0.0150025,-0.0295706,-0.115588,0,0,0,0,0,0,-1.44791,0.0628179,-0.00827255,0.465066,0,0,0,0,0,0,0.915323,0.0915451,0.0688767,0.972549,0,0,0,0,0,0
80,-0.516689,0.0252118,-0.0263381,-0.207547,0,0,0,0,0,0,-0.641303,0.0136982,-0.0373725,0.0656365,0,0,0,0,0,0,-1.67536,0.0486482,-0.0256913,0.621385,0,0,0,0,0,0,1.06002,0.080139,0.07411,0.987028,0,0,0,0,0,0
81,1.98855,0.0916762,-0.0723974,1.58235,0,0,0,0,0,0,1.62121,0.0854739,-0.068514,1.73165,0,0,0,0,0,0,1.28334,0.0904613,-0.0455182,1.73965,0,0,0,0,0,0,1.10077,0.0519343,0.0604671,0.53103,0,0,0,0,0,0
82,-0.473012,0.0143351,-0.0268802,0.0350388,0,0,0,0,0,0,-0.62787,0.0195939,-0.0252835,0.175042,0,0,0,0,0,0,-2.19007,0.0457177,-0.0447395,0.918272,0,0,0,0,0,0,1.09758,0.0768393,0.0784482,1.19018,0,0,0,0,0,0
83,1.06821,0.000208703,-0.0341306,-0.134858,0,0,0,0,0,0,1.01168,-0.0156029,-0.0401664,0.0116415,0,0,0,0,0,0,0.692383,0.00749874,-0.0396877,0.434205,0,0,0,0,0,0,0.694553,0.0659458,0.0895209,0.981272,0,0,0,0,0,0
84,-0.32894,-0.0765314,0.0582756,0.450217,0,0,0,0,0,0,-0.16669,-0.0847659,0.0602579,0.529702,0,0,0,0,0,0,-0.131478,-0.0802242,0.077497,1.35615,0,0,0,0,0,0,1.01671,0.0877884,0.0759126,1.03401,0,0,0,0,0,0
85,1.25934,-0.016082,-0.010565,-0.391935,0,0,0,0,0,0,1.22602,-0.0104029,-0.0123737,-0.252162,0,0,0,0,0,0,1.11602,-0.00197918,0.000686067,-0.00658763,0,0,0,0,0,0,0.776022,0.0714181,0.0829823,0.906836,0,0,0,0,0,0
86,0.0686138,0.0022896,-0.0233478,-0.236466,0,0,0,0,0,0,0.0919279,0.00201518,-0.023504,-0.141238,0,0,0,0,0,0,-0.571106,0.0249908,-0.0293618,0.396884,0,0,0,0,0,0,0.956767,0.0828119,0.0797104,1.03425,0,0,0,0,0,0
87,1.32566,0.016537,-0.0632438,0.6382,0,0,0,0,0,0,1.16214,0.0199793,-0.0721826,0.681647,0,0,0,0,0,0,0.32211,0.0430624,-0.0522675,1.08369,0,0,0,0,0,0,1.11697,0.0488225,0.062083,0.933265,0,0,0,0,0,0
88,-0.700619,-0.045528,0.0222278,-0.547903,0,0,0,0,0,0,-0.725076,-0.0453125,0.0232886,-0.60096,0,0,0,0,0,0,-0.776283,-0.0325779,0.0376109,0.141198,0,0,0,0,0,0,0.422394,0.0891185,0.0881131,1.0026,0,0,0,0,0,0
89,-0.627926,-0.0141915,0.0072562,-0.354803,0,0,0,0,0,0,-0.599805,-0.0218332,0.0101564,-0.394663,0,0,0,0,0,0,-0.91431,-0.0179458,0.0133332,-0.0220944,0,0,0,0,0,0,0.690872,0.0894636,0.0872305,0.910718,0,0,0,0,0,0
90,0.909077,0.0430101,-0.0272675,0.0347712,0,0,0,0,0,0,0.722844,0.0575989,-0.0125923,0.107057,0,0,0,0,0,0,-0.107507,0.0733557,-0.0119211,0.610214,0,0,0,0,0,0,1.08328,0.0810513,0.0733654,0.863313,0,0,0,0,0,0
91,0.774372,-0.0103977,0.00481189,-0.261807,0,0,0,0,0,0,0.858146,-0.00858014,-0.000834743,-0.253318,0,0,0,0,0,0,0.445772,-0.00962483,0.00785161,-0.0293575,0,0,0,0,0,0,0.825082,0.0871928,0.077843,1.02478,0,0,0,0,0,0
